"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.479131531E2,6.501145314E1,2.546351385E1,1.101338085E1,1.649999976E0,3.150000000E2,3.874874592E0,5.496889114E0
1.489121356E2,6.501145851E1,2.546348590E1,1.151716102E1,1.490000010E0,3.036000061E2,3.813234329E0,5.294047832E0
1.499109978E2,6.501146313E1,2.546346255E1,1.093762880E1,1.450000048E0,3.060000000E2,3.790092468E0,4.685471058E0
1.509141149E2,6.501146768E1,2.546343626E1,1.097156076E1,1.480000019E0,2.991000061E2,3.790092468E0,4.404668331E0
1.519134987E2,6.501147211E1,2.546341162E1,1.020562716E1,1.460000038E0,3.027000122E2,3.790092468E0,4.083571911E0
1.529128161E2,6.501147843E1,2.546338744E1,1.027538622E1,1.470000029E0,3.068999939E2,3.790092468E0,3.871930838E0
1.539132000E2,6.501148503E1,2.546335998E1,1.072521086E1,1.440000057E0,2.996000061E2,3.790092468E0,4.039570808E0
1.549134245E2,6.501149282E1,2.546333258E1,1.051817470E1,1.419999957E0,3.010000000E2,3.790092468E0,4.199654102E0
1.559131819E2,6.501149863E1,2.546330629E1,1.065318039E1,1.409999967E0,2.951000061E2,3.790092468E0,4.214400768E0
1.569139270E2,6.501150440E1,2.546327870E1,9.395852024E0,1.429999948E0,2.985000000E2,3.790092468E0,4.020199299E0
1.579134649E2,6.501150859E1,2.546324809E1,9.563023566E0,1.409999967E0,3.000000000E2,3.790092468E0,3.802960634E0
1.589120441E2,6.501150959E1,2.546321319E1,9.738618889E0,1.340000033E0,3.026000061E2,3.790092468E0,3.785332441E0
1.599233506E2,6.501151211E1,2.546318306E1,9.127959077E0,1.429999948E0,3.146000061E2,3.790092468E0,3.740855694E0
1.609148301E2,6.501151888E1,2.546315776E1,8.930200795E0,1.389999986E0,3.142999878E2,3.790092468E0,3.571338415E0
1.619127937E2,6.501152691E1,2.546313038E1,8.967732410E0,1.480000019E0,3.223999939E2,3.790092468E0,3.264812708E0
1.629146039E2,6.501153450E1,2.546310550E1,8.852859583E0,1.409999967E0,3.107000122E2,3.790092468E0,3.159876585E0
